ano,estado,regiao,taxa_mortalidade_infantil
2011,Rio Grande do Norte,Nordeste,26.4
2012,Rio Grande do Norte,Nordeste,25.52
2013,Rio Grande do Norte,Nordeste,24.41
2014,Rio Grande do Norte,Nordeste,23.23
2015,Rio Grande do Norte,Nordeste,21.03
2016,Rio Grande do Norte,Nordeste,20.36
2017,Rio Grande do Norte,Nordeste,21.28
2018,Rio Grande do Norte,Nordeste,19.72
2019,Rio Grande do Norte,Nordeste,17.44
2020,Rio Grande do Norte,Nordeste,16.81
2021,Rio Grande do Norte,Nordeste,17.3
2022,Rio Grande do Norte,Nordeste,14.87
2023,Rio Grande do Norte,Nordeste,14.39
2010,Sergipe,Nordeste,26.42
2011,Sergipe,Nordeste,25.91
2012,Sergipe,Nordeste,24.96
2013,Sergipe,Nordeste,23.08
2014,Sergipe,Nordeste,23.39
2015,Sergipe,Nordeste,21.4
2016,Sergipe,Nordeste,20.76
2017,Sergipe,Nordeste,20.91
2018,Sergipe,Nordeste,19.83
2019,Sergipe,Nordeste,19.45
2020,Sergipe,Nordeste,18.14
2021,Sergipe,Nordeste,17.07
2022,Sergipe,Nordeste,15.08
2023,Sergipe,Nordeste,14.88
2010,Espírito Santo,Sudeste,12.54
2011,Espírito Santo,Sudeste,12.2
2012,Espírito Santo,Sudeste,13.67
2013,Espírito Santo,Sudeste,11.99
2014,Espírito Santo,Sudeste,12.9
2015,Espírito Santo,Sudeste,11.99
2016,Espírito Santo,Sudeste,12.1
2017,Espírito Santo,Sudeste,11.11
2018,Espírito Santo,Sudeste,11.01
2019,Espírito Santo,Sudeste,10.52
2020,Espírito Santo,Sudeste,9.52
2021,Espírito Santo,Sudeste,10.5
2022,Espírito Santo,Sudeste,9.16
2023,Espírito Santo,Sudeste,8.26
2010,Minas Gerais,Sudeste,13.45
2011,Minas Gerais,Sudeste,12.04
2012,Minas Gerais,Sudeste,13.59
2013,Minas Gerais,Sudeste,13.34
2014,Minas Gerais,Sudeste,12.96
2015,Minas Gerais,Sudeste,11.37
2016,Minas Gerais,Sudeste,10.23
2017,Minas Gerais,Sudeste,12.14
2018,Minas Gerais,Sudeste,10.65
2019,Minas Gerais,Sudeste,11.66
2020,Minas Gerais,Sudeste,11.37
2021,Minas Gerais,Sudeste,10.82
2022,Minas Gerais,Sudeste,9.19
2023,Minas Gerais,Sudeste,9.12
2010,Rio de Janeiro,Sudeste,13.94
2011,Rio de Janeiro,Sudeste,12.38
2012,Rio de Janeiro,Sudeste,11.74
2013,Rio de Janeiro,Sudeste,12.38
2014,Rio de Janeiro,Sudeste,13.01
2015,Rio de Janeiro,Sudeste,12.15
2016,Rio de Janeiro,Sudeste,11.56
2017,Rio de Janeiro,Sudeste,10.14
2018,Rio de Janeiro,Sudeste,11.1
2019,Rio de Janeiro,Sudeste,11.71
2020,Rio de Janeiro,Sudeste,9.39
2021,Rio de Janeiro,Sudeste,10.01
2022,Rio de Janeiro,Sudeste,10.59
2023,Rio de Janeiro,Sudeste,9.98
2010,São Paulo,Sudeste,13.57
2011,São Paulo,Sudeste,13.3
2012,São Paulo,Sudeste,12.19
2013,São Paulo,Sudeste,11.75
2014,São Paulo,Sudeste,12.7
2015,São Paulo,Sudeste,12.42
2016,São Paulo,Sudeste,12.27
2017,São Paulo,Sudeste,12.1
2018,São Paulo,Sudeste,10.85
2019,São Paulo,Sudeste,10.54
2020,São Paulo,Sudeste,10.97
2021,São Paulo,Sudeste,10.33
2022,São Paulo,Sudeste,10.17
2023,São Paulo,Sudeste,10.11
2010,Paraná,Sul,12.74
2011,Paraná,Sul,11.17
2012,Paraná,Sul,11.02
2013,Paraná,Sul,10.11
2014,Paraná,Sul,11.03
2015,Paraná,Sul,9.49
2016,Paraná,Sul,10.29
2017,Paraná,Sul,10.23
2018,Paraná,Sul,9.38
2019,Paraná,Sul,9.87
2020,Paraná,Sul,8.29
2021,Paraná,Sul,8.07
2022,Paraná,Sul,9.71
2023,Paraná,Sul,8.36
2010,Rio Grande do Sul,Sul,10.9
2011,Rio Grande do Sul,Sul,11.61
2012,Rio Grande do Sul,Sul,11.97
2013,Rio Grande do Sul,Sul,10.4
2014,Rio Grande do Sul,Sul,11.14
2015,Rio Grande do Sul,Sul,9.61
2016,Rio Grande do Sul,Sul,9.29
2017,Rio Grande do Sul,Sul,10.21
2018,Rio Grande do Sul,Sul,9.99
2019,Rio Grande do Sul,Sul,9.98
2020,Rio Grande do Sul,Sul,9.96
2021,Rio Grande do Sul,Sul,10.32
2022,Rio Grande do Sul,Sul,8.98
2023,Rio Grande do Sul,Sul,8.28
2010,Santa Catarina,Sul,12.51
2011,Santa Catarina,Sul,11.01
2012,Santa Catarina,Sul,11.18
2013,Santa Catarina,Sul,10.07
2014,Santa Catarina,Sul,9.71
2015,Santa Catarina,Sul,11.72
2016,Santa Catarina,Sul,11.18
2017,Santa Catarina,Sul,10.6
2018,Santa Catarina,Sul,9.67
2019,Santa Catarina,Sul,8.87
2020,Santa Catarina,Sul,8.59
2021,Santa Catarina,Sul,8.58
2022,Santa Catarina,Sul,9.06
2023,Santa Catarina,Sul,9.22
2010,Distrito Federal,Centro-Oeste,16.78
2011,Distrito Federal,Centro-Oeste,15.48
2012,Distrito Federal,Centro-Oeste,16.71
2013,Distrito Federal,Centro-Oeste,15.79
2014,Distrito Federal,Centro-Oeste,14.96
2015,Distrito Federal,Centro-Oeste,14.71
2016,Distrito Federal,Centro-Oeste,13.85
2017,Distrito Federal,Centro-Oeste,13.05
2018,Distrito Federal,Centro-Oeste,12.92
2019,Distrito Federal,Centro-Oeste,13.49
2020,Distrito Federal,Centro-Oeste,11.31
2021,Distrito Federal,Centro-Oeste,11.16
2022,Distrito Federal,Centro-Oeste,10.6
2023,Distrito Federal,Centro-Oeste,10.2
2010,Goiás,Centro-Oeste,17.25
2011,Goiás,Centro-Oeste,16.5
2012,Goiás,Centro-Oeste,15.55
2013,Goiás,Centro-Oeste,14.26
2014,Goiás,Centro-Oeste,14.81
2015,Goiás,Centro-Oeste,14.37
2016,Goiás,Centro-Oeste,13.26
2017,Goiás,Centro-Oeste,13.5
2018,Goiás,Centro-Oeste,13.02
2019,Goiás,Centro-Oeste,13.15
2020,Goiás,Centro-Oeste,12.8
2021,Goiás,Centro-Oeste,10.99
2022,Goiás,Centro-Oeste,11.39
2023,Goiás,Centro-Oeste,11.6
2010,Mato Grosso,Centro-Oeste,16.41
2011,Mato Grosso,Centro-Oeste,16.86
2012,Mato Grosso,Centro-Oeste,16.0
2013,Mato Grosso,Centro-Oeste,14.41
2014,Mato Grosso,Centro-Oeste,13.8
2015,Mato Grosso,Centro-Oeste,14.78
2016,Mato Grosso,Centro-Oeste,12.91
2017,Mato Grosso,Centro-Oeste,13.86
2018,Mato Grosso,Centro-Oeste,14.32
2019,Mato Grosso,Centro-Oeste,13.05
2020,Mato Grosso,Centro-Oeste,12.21
2021,Mato Grosso,Centro-Oeste,12.43
2022,Mato Grosso,Centro-Oeste,11.59
2023,Mato Grosso,Centro-Oeste,11.41
2010,Mato Grosso do Sul,Centro-Oeste,17.46
2011,Mato Grosso do Sul,Centro-Oeste,15.73
2012,Mato Grosso do Sul,Centro-Oeste,16.72
2013,Mato Grosso do Sul,Centro-Oeste,16.2
2014,Mato Grosso do Sul,Centro-Oeste,14.1
2015,Mato Grosso do Sul,Centro-Oeste,13.4
2016,Mato Grosso do Sul,Centro-Oeste,13.09
2017,Mato Grosso do Sul,Centro-Oeste,12.5
2018,Mato Grosso do Sul,Centro-Oeste,12.29
2019,Mato Grosso do Sul,Centro-Oeste,13.31
2020,Mato Grosso do Sul,Centro-Oeste,11.45
2021,Mato Grosso do Sul,Centro-Oeste,11.65
2022,Mato Grosso do Sul,Centro-Oeste,12.52
2023,Mato Grosso do Sul,Centro-Oeste,10.16
